105	
65412 	0	0	510	95	2
31111 	0	0	20	21	99
31112 	21	0	41	21	99
31113 	42	0	62	21	99
72523 	0	0	103	26	991
72524 	0	27	103	53	991
72525 	0	54	103	80	991
72526 	0	81	103	107	991
72530 	0	0	102	52	992
72531 	0	54	102	106	992
72532 	104	0	207	52	992
72533 	104	54	207	106	992
71114 	409	46	425	53	160
71115 	409	71	425	78	160
71116 	409	95	425	102	160
71117 	409	125	431	132	160
11001 	3	2	18	32	79989
11002 	25	2	40	32	79989
11003 	48	2	63	32	79989
11004 	72	38	87	68	79989
11005 	50	38	65	68	79989
11006 	27	38	42	68	79989
10011 	6	1	21	31	0
10003 	39	1	54	31	0
10004 	69	1	89	31	0
10005 	99	1	114	31	0
10007 	127	1	142	31	0
10101 	157	1	180	31	0
10102 	188	1	203	31	0
10103 	212	1	233	31	0
10201 	218	34	241	64	0
10202 	6	67	21	97	0
10203 	31	67	52	97	0
10012 	220	100	235	130	0
10013 	187	100	202	130	0
10014 	157	100	172	130	0
10015 	127	100	142	130	0
10017 	99	100	114	130	0
10104 	60	100	84	130	0
10105 	38	100	53	130	0
10106 	8	100	29	130	0
10204 	0	133	23	163	0
10205 	220	166	235	196	0
10206 	189	166	210	196	0
10300 	5	34	20	64	0
10301 	221	133	236	163	0
10350 	131	34	146	64	0
10351 	162	34	177	64	0
10352 	66	34	81	64	0
10353 	96	34	111	64	0
10354 	95	133	110	163	0
10355 	64	133	79	163	0
10356 	160	133	175	163	0
10357 	130	133	145	163	0
10650 	58	166	81	196	0
10651 	35	166	50	196	0
10652 	5	166	26	196	0
10653 	160	67	183	97	0
10654 	191	67	206	97	0
10655 	215	67	236	97	0
10656 	152	166	175	196	0
10657 	130	166	145	196	0
10658 	100	166	120	196	0
10659 	66	67	89	97	0
10660 	96	67	111	97	0
10661 	121	67	141	97	0
78888 	0	0	31	30	79979
40001 	0	0	15	31	30
40002 	16	0	31	31	30
30000 	13	9	18	32	10
30001 	56	9	69	27	10
30002 	91	11	116	19	10
30003 	20	9	26	32	10
30004	35	9	49	27	10
30005	120	11	146	19	10
30006	0	0	1	1	10
30010	13	43	18	66	10
30011	56	43	69	61	10
30012	91	45	116	53	10
30013	20	43	26	66	10
30014	35	43	49	61	10
30015	120	45	146	53	10
30020	13	77	18	100	10
30021	56	77	69	95	10
30022	75	79	116	87	10
30023	20	77	26	100	10
30024	35	77	49	95	10
30025	120	79	162	87	10
44442	0	0	16	8	60
44443	0	9	17	18	60
54320	0	0	14	13	12
54321	15	0	29	13	12
54322	30	0	44	13	12
54323	45	0	59	13	12
54400	0	0	15	12	11
54401	16	0	31	12	11
54402	32	0	47	12	11
54410	32	13	47	25	11
44444	0	0	12	10	50
44441	0	0	15	15	70
44344	0	0	14	14	80
44445	15	0	29	14	80
44446	30	0	44	14	80
23541	0	0	14	15	130	
