46
20001 	0	0	16	16	20
20004	0	0	16	16	20
20002	0	0	16	16	21
20003	0	0	16	16	22
25554	0	0	13	15	170
25555	14	0	27	15	170
40001	0	0	7	15	32
40002	8	0	15	15	32
40011	1	0	8	47	23
40012	48	0	87	47	23
22300	48	0	63	15	34
22301	32	0	47	15	34
22302	16	0	31	15	34
22303	0	16	15	31	34
22304	16	16	31	31	34
22305	32	16	47	31	34
26540	0	0	47	22	42
26541	48	0	95	22	42
26542	96	0	143	22	42
22220	0	0	15	31	31
22221	18	0	33	31	31
22222	0	32	15	63	31
22223	18	32	33	63	31
60000	64	18	95	33	33
60001	32	18	63	33	33
60010	32	0	63	15	33
60011	64	0	95	15	33
60002	96	18	127	33	33
60012	0	0	31	15	33
60003	0	18	31	33	33
60013	96	0	127	15	33
85555	0	0	15	31	35
85556	32	32	47	63	35
85557	16	0	31	31	35
85558	32	0	47	31	35
85559	16	32	31	63	35
85560	0	32	15	63	35
86666	0	0	6	5	41
86667	0	6	6	11	41
23330	0	0	8	8	90
23041	0	0	15	15	110
25471	290	102	302	117	160
48954	0	0	13	15	150
23641	0	0	14	13	140
23042	0	0	15	15	100
23331	0	0	15	12	120
