105
3	-1	29	128	-1	1	0
3 	-1 	157 	128 	-1	1	0
3	-1	285	128	-1	1	0
3	-1	413	128	-1	1	0
3	-1	541	128	-1	1	0
3	-1	92	97	-1	1	0
3	-1	220	97	-1	1	0
3	-1	348	97	-1	1	0
3	-1	476	97	-1	1	0
3	-1	604	97	-1	1	0
3	-1	673	39	-1	1	0
3	-1	735	130	-1	1	0
3	-1	799	8	-1	1	0
3	-1	992	39	-1	1	0
3	-1	929	130	-1	1	0
3	-1	1055	130	-1	1	0
3	-1	1119	130	-1	1	0
3	-1	1183	130	-1	1	0
3	-1	1247	130	-1	1	0
3	-1	1366	113	-1	1	0
3	-1	1437	33	-1	1	0
3	-1	1502	4	11	1	0
3	-1	3099	24	-1	1	0
3	-1	3163	24	-1	1	0
3	-1	3231	24	-1	1	0
3	-1	3303	24	-1	1	0
3	-1	2844	24	-1	1	0
3	-1	2906	24	-1	1	0
3	-1	2971	24	-1	1	0
3	-1	3035	24	-1	1	0
3	-1	1890	132	-1	1	0
3	-1	1952	11	-1	1	0
3	-1	2013	38	-1	1	0
3	-1	1627	40	-1	1	0
3	-1	1692	24	-1	1	0
3	-1	1756	104	-1	1	0
3	-1	1842	25	-1	1	0
3	-1	1570	135	-1	1	0
3	-1	2135	41	-1	1	0
3	-1	2203	74	-1	1	0
3	-1	2270	40	199	1	0
3	-1	2068	107	-1	1	0
3	-1	2331	136	-1	1	0
3	-1	2397	102	12	1	0
3	-1	2463	140	-1	1	0
3	-1	2527	140	-1	1	0
3	-1	2591	113	-1	1	0
3	-1	2656	140	-1	1	0
3	-1	2719	107	-1	1	0
3	-1	2784	108	-1	1	0			
0	1	611	159	0	1	0
0	2	675	35	0	0	0
0	1	707	95	0	1	0
0	2	738	4	0	0	0
0	1	898	4	0	0	0
0	2	928	95	0	1	0
0	1	1283	159	0	1	0
0	2	1378	4	0	0	0
0	1	1700	35	0	0	0
0	2	1762	159	0	1	0
0	1	1570	99	0	0	0
0	2	2894	46	0	1	0
0	1	1888	99	0	0	0
0	2	3250	78	0	1	0
0	1	1924	35	0	0	0
0	2	1986	159	0	1	0
0	1	2148	3	0	0	0
0	2	2180	95	0	1	0
0	1	2340	35	0	0	0
0	2	2404	159	0	1	0
0	2	2753	35	0	0	0
0	1	2720	127	0	1	0
8	-1	1528	16	0	0	0
8	-1	2042	16	0	0	0
6	-1	1792	128	0	0	0
6	-1	1792	144	5	0	0
6	-1	3278	79	0	1	0
6	-1	2735	128	999	1	0
4	-1	688	96	0	1	48
4	-1	752	64	0	1	160
4	-1	928	96	0	1	96
4	-1	1520	43	0	0	3
4	-1	1392	64	0	1	272
4	-1	1664	96	0	1	48
4	-1	1616	190	0	0	5
4	-1	3192	-5	0	0	7
4	-1	2872	-5	0	0	8
4	-1	2990	170	0	0	335
4	-1	2910	47	0	1	32
4	-1	2814	79	0	1	224
4	-1	3070	79	0	1	32
4	-1	3134	79	0	1	144
4	-1	3296	111	0	1	32
4	-1	3262	143	0	1	32
4	-1	3278	79	0	1	16
4	-1	1937	239	0	0	5
4	-1	1888	96	0	1	48
4	-1	1792	80	0	1	96
4	-1	1952	64	0	1	208
4	-1	2034	43	0	0	4
4	-1	2176	96	0	1	176
4	-1	2768	96	0	1	48
4	-1	2720	128	0	1	16
4	-1	2735	128	0	1	16	
4 	-1 	0 	160 	0	1	2815

tag	nx	x	y	iInside	type	groundBBOX

		
